slurm_jobid|job_id|rule_name|input_size_bytes|inputs
60391|12|preprocess_merge|0|/data/analysis/260302_M08590_97/fastq/CQ2-2602i040239-40ng_S4_R1_001.fastq.gz,/data/analysis/260302_M08590_97/fastq/CQ2-2602i040239-40ng_S4_R2_001.fastq.gz
60392|3|preprocess_merge|0|/data/analysis/260302_M08590_97/fastq/BAR-2601i160237-40ng_S1_R1_001.fastq.gz,/data/analysis/260302_M08590_97/fastq/BAR-2601i160237-40ng_S1_R2_001.fastq.gz
60393|15|preprocess_merge|0|/data/analysis/260302_M08590_97/fastq/DUC-2601i090164-40ng_S5_R1_001.fastq.gz,/data/analysis/260302_M08590_97/fastq/DUC-2601i090164-40ng_S5_R2_001.fastq.gz
60394|6|preprocess_merge|0|/data/analysis/260302_M08590_97/fastq/CQ2-2602i040236-40ng_S2_R1_001.fastq.gz,/data/analysis/260302_M08590_97/fastq/CQ2-2602i040236-40ng_S2_R2_001.fastq.gz
60395|21|preprocess_merge|0|/data/analysis/260302_M08590_97/fastq/MEL-2602i020252-40ng_S7_R1_001.fastq.gz,/data/analysis/260302_M08590_97/fastq/MEL-2602i020252-40ng_S7_R2_001.fastq.gz
60396|9|preprocess_merge|0|/data/analysis/260302_M08590_97/fastq/CQ2-2602i040238-40ng_S3_R1_001.fastq.gz,/data/analysis/260302_M08590_97/fastq/CQ2-2602i040238-40ng_S3_R2_001.fastq.gz
60397|24|preprocess_merge|0|/data/analysis/260302_M08590_97/fastq/PIA-2602i030242-40ng_S8_R1_001.fastq.gz,/data/analysis/260302_M08590_97/fastq/PIA-2602i030242-40ng_S8_R2_001.fastq.gz
60398|18|preprocess_merge|0|/data/analysis/260302_M08590_97/fastq/HAN-2601i130135-40ng_S6_R1_001.fastq.gz,/data/analysis/260302_M08590_97/fastq/HAN-2601i130135-40ng_S6_R2_001.fastq.gz
60399|2|preprocess_prefilter|0|/data/analysis/260302_M08590_97/preprocess-flash/BAR-2601i160237-40ng_S1.fastq.gz
60400|17|preprocess_prefilter|0|/data/analysis/260302_M08590_97/preprocess-flash/HAN-2601i130135-40ng_S6.fastq.gz
60401|11|preprocess_prefilter|0|/data/analysis/260302_M08590_97/preprocess-flash/CQ2-2602i040239-40ng_S4.fastq.gz
60402|8|preprocess_prefilter|0|/data/analysis/260302_M08590_97/preprocess-flash/CQ2-2602i040238-40ng_S3.fastq.gz
60403|20|preprocess_prefilter|0|/data/analysis/260302_M08590_97/preprocess-flash/MEL-2602i020252-40ng_S7.fastq.gz
60404|14|preprocess_prefilter|0|/data/analysis/260302_M08590_97/preprocess-flash/DUC-2601i090164-40ng_S5.fastq.gz
60405|23|preprocess_prefilter|0|/data/analysis/260302_M08590_97/preprocess-flash/PIA-2602i030242-40ng_S8.fastq.gz
60406|5|preprocess_prefilter|0|/data/analysis/260302_M08590_97/preprocess-flash/CQ2-2602i040236-40ng_S2.fastq.gz
60407|16|vidjil|0|/data/analysis/260302_M08590_97/preprocess-prefilter/HAN-2601i130135-40ng_S6.detected.vdj.fastq.gz
60408|1|vidjil|0|/data/analysis/260302_M08590_97/preprocess-prefilter/BAR-2601i160237-40ng_S1.detected.vdj.fastq.gz
60409|10|vidjil|0|/data/analysis/260302_M08590_97/preprocess-prefilter/CQ2-2602i040239-40ng_S4.detected.vdj.fastq.gz
60410|7|vidjil|0|/data/analysis/260302_M08590_97/preprocess-prefilter/CQ2-2602i040238-40ng_S3.detected.vdj.fastq.gz
60411|4|vidjil|0|/data/analysis/260302_M08590_97/preprocess-prefilter/CQ2-2602i040236-40ng_S2.detected.vdj.fastq.gz
60412|22|vidjil|0|/data/analysis/260302_M08590_97/preprocess-prefilter/PIA-2602i030242-40ng_S8.detected.vdj.fastq.gz
60413|19|vidjil|0|/data/analysis/260302_M08590_97/preprocess-prefilter/MEL-2602i020252-40ng_S7.detected.vdj.fastq.gz
60414|13|vidjil|0|/data/analysis/260302_M08590_97/preprocess-prefilter/DUC-2601i090164-40ng_S5.detected.vdj.fastq.gz
